#x	dx	y	dy
-0.023564361	0.024882179	0.00045224908	0.00012899544
0.20661105	0.026033055	0.00094293745	0.00015352985
0.40144616	0.027007231	0.0013336341	0.00017306469
0.59254473	0.027962724	0.0018768228	0.00020022412
0.80947626	0.029047381	0.0022914605	0.000220956
0.98620588	0.029931029	0.0025292092	0.00023284343
1.2259598	0.0311298	0.0032808008	0.00027042301
1.3861035	0.031930517	0.003365156	0.00027464077
1.5834546	0.032917272	0.0038773373	0.00030024984
1.7917509	0.033958755	0.004193387	0.00031605232
2.0020077	0.03501004	0.0051389188	0.00036332893
2.1734948	0.035867475	0.0048947069	0.00035111833
2.3843143	0.036921572	0.0053861127	0.00037568863
2.5986519	0.03799326	0.0066146096	0.00043711346
2.8184354	0.039092176	0.0067125242	0.00044200919
3.0193906	0.040096954	0.0067526232	0.00044401415
3.1960471	0.040980235	0.0075183641	0.0004823012
3.4099994	0.042049997	0.0084203035	0.00052739814
3.568639	0.042843197	0.0080361199	0.00050818897
3.8156288	0.044078145	0.0088964347	0.00055120472
4.026403	0.045132015	0.0095363222	0.00058319909
4.2240124	0.046120062	0.0095044049	0.00058160321
4.4133544	0.04706677	0.010311385	0.00062195223
4.5905871	0.047952935	0.01014029	0.00061339751
4.775084	0.048875421	0.010852223	0.00064899412
